year,domestic_revenue_npr,industrial_revenue_npr,commercial_revenue_npr,irrigation_revenue_npr,other_revenue_npr,total_revenue_npr,domestic_revenue_npr_pct,industrial_revenue_npr_pct,commercial_revenue_npr_pct,irrigation_revenue_npr_pct,other_revenue_npr_pct,total_revenue_nrs_bn,aggregated_at
2023,32402000000.0,25784000000.0,20113500000.0,2034000000.0,5649000000.0,85982500000.0,37.68,29.99,23.39,2.37,6.57,85.982,2026-03-25 23:10:12.801342
2024,34025500000.0,27104000000.0,21171500000.0,2146500000.0,5911500000.0,90359000000.0,37.66,30.0,23.43,2.38,6.54,90.359,2026-03-25 23:10:12.801342
